area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Ecuador,Ecuador,ECU,high,34207231,38379331,62729296,88990084,144556052,173885707,203867010,264960627,328063797,360717847,394152561,463082285,534243187,1,3
America,El Salvador,El Salvador,SLV,low,381637,234594,362270,492670,753966,886885,1020017,1290057,1557209,1689337,1821300,2082122,2335352,1,1
America,El Salvador,El Salvador,SLV,mean,381637,370890,569767,771330,1181766,1388015,1591953,1995664,2383444,2570057,2751955,3104670,3104670,1,2
America,El Salvador,El Salvador,SLV,high,381637,509795,780537,1056338,1610289,1883229,2150129,2658031,3104670,3104670,3104670,3104670,3104670,1,3
America,French Guiana,French Guiana,GUF,low,2734470,3214527,4527824,5673397,7662221,8643848,9666675,11836296,14114512,15257549,16396320,18701868,21035032,1,1
America,French Guiana,French Guiana,GUF,mean,2734470,3863387,5377804,6668805,9109375,10417728,11778445,14612324,17448073,18894658,20347168,23277941,26266568,1,2
America,French Guiana,French Guiana,GUF,high,2734470,4494298,6154462,7608847,10647125,12288431,13990570,17384449,20845043,22597274,24371539,27986954,31751073,1,3
America,Grenada,Grenada,GRD,low,51558,8098,13137,18685,30290,36114,41938,53815,65989,72116,78303,90937,103977,1,1
America,Grenada,Grenada,GRD,mean,51558,49429,77654,107479,172885,208534,245305,322254,404115,404115,513345,513345,513345,1,2
America,Grenada,Grenada,GRD,high,51558,94139,150365,212946,349442,404115,513345,513345,513345,513345,513345,513345,513345,1,3
America,Guadeloupe,Guadeloupe,GLP,low,61815,47672,70791,93852,139993,163111,186246,229018,271241,292948,314942,359490,405057,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,61815,73581,109714,145404,215706,248287,281880,350719,421951,457738,495658,576544,665870,1,2
America,Guadeloupe,Guadeloupe,GLP,high,61815,99154,147918,196618,286708,333108,381056,478964,588428,649000,714368,866507,1048362,1,3
America,Guatemala,Guatemala,GTM,low,16649349,13953438,21126140,28549456,44372210,52746047,61443048,79674984,99189933,109705779,117270134,117270134,117270134,1,1
America,Guatemala,Guatemala,GTM,mean,16649349,17947750,27358783,37259129,58671999,70135423,82000498,107651430,117270134,117270134,117270134,117270134,117270134,1,2
America,Guatemala,Guatemala,GTM,high,16649349,22029067,33816466,46415160,73838565,88556183,104314361,117270134,117270134,117270134,117270134,117270134,117270134,1,3
