"area_cont","area_ctry","area_name","area_code","for2000","for2005","for2010","for2015","for2020","d_se","d_mean","d_min","d_max","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"Asia","Fiji","Fiji","FJI",1004802,979416,957543,932471,924273,782,3300,1767,4832,3300,0.4,891273,874773,858273,825273,808773,792273,759273,726273,709773,693273,660273,2300
"Asia","India","India – Andaman and N.","AN",612018,606000,590589,579242,571667,759,1875,388,3363,1875,0.3,552917,543542,534167,515417,506042,496667,477917,459167,449792,440417,421667,2324
"Asia","India","India – North-East","NE",7023487,6417531,5941225,5666785,5559858,6720,38134,24962,51305,38134,0.7,5178518,4987848,4797178,4415838,4225168,4034498,3653158,3271818,3081148,2890478,2509138,2165
"Asia","India","India – West. Ghats","WG",3144031,2905603,2703914,2444157,2236493,9079,46740,28945,64536,46740,1.9,1769093,1535393,1301693,834293,600593,366893,0,0,0,0,0,2067
"Asia","Indonesia","Indonesia","IDN",139357957,132908237,126473252,120755315,117072449,149753,939867,646351,1233384,939867,0.8,107673779,102974444,98275109,88876439,84177104,79477769,70079099,60680429,55981094,51281759,41883089,2144
"Asia","Laos","Laos","LAO",11607486,10565451,9689918,8949661,8307710,15123,138221,108579,167863,138221,1.5,6925500,6234395,5543290,4161080,3469975,2778870,1396660,14450,0,0,0,2080
"Asia","Malaysia","Malaysia","MYS",25675843,23958033,22314895,20880307,20147119,28085,216762,161714,271809,216762,1,17979499,16895689,15811879,13644259,12560449,11476639,9309019,7141399,6057589,4973779,2806159,2112
"Asia","Myanmar","Myanmar","MMR",18278559,16672178,15380127,14303418,13727738,29178,165195,108006,222384,165195,1.1,12075788,11249813,10423838,8771888,7945913,7119938,5467988,3816038,2990063,2164088,512138,2103
"Asia","New Caledonia","New Caledonia","NCL",904606,891061,879083,866439,854670,477,2425,1490,3359,2425,0.3,830420,818295,806170,781920,769795,757670,733420,709170,697045,684920,660670,2372
"Asia","Papua New Guinea","Papua New Guinea","PNG",40366239,39968276,39791231,39540733,39303989,9809,48691,29465,67917,48691,0.1,38817079,38573624,38330169,37843259,37599804,37356349,36869439,36382529,36139074,35895619,35408709,2827
"Asia","Philippines","Philippines","PHL",14755966,14123123,13684111,13198416,12752887,22009,93052,49915,136189,93052,0.7,11822367,11357107,10891847,9961327,9496067,9030807,8100287,7169767,6704507,6239247,5308727,2157
"Asia","Singapore","Singapore","SGP",16645,15711,15219,14433,13737,29,147,90,204,147,1,12267,11532,10797,9327,8592,7857,6387,4917,4182,3447,1977,2113
"Asia","Solomon Isl.","Solomon Isl.","SLB",2761868,2759882,2757047,2750546,2739427,350,1751,1065,2437,1751,0.1,2721917,2713162,2704407,2686897,2678142,2669387,2651877,2634367,2625612,2616857,2599347,3584
"Asia","Sri Lanka","Sri Lanka","LKA",2088270,1860158,1734951,1639017,1594309,3021,14060,8139,19981,14060,0.8,1453709,1383409,1313109,1172509,1102209,1031909,891309,750709,680409,610109,469509,2133
"Asia","Thailand","Thailand","THA",7188374,6732213,6341227,6061387,5815115,9947,52603,33106,72100,52603,0.9,5289085,5026070,4763055,4237025,3974010,3710995,3184965,2658935,2395920,2132905,1606875,2130
"Asia","Timor-Leste","Timor-Leste","TLS",130695,103425,89349,81102,77607,383,1173,422,1925,1173,1.4,65877,60012,54147,42417,36552,30687,18957,7227,1362,0,0,2086
"Asia","Vanuatu","Vanuatu","VUT",1158362,1157933,1157826,1156616,1152161,157,564,256,873,564,0,1146521,1143701,1140881,1135241,1132421,1129601,1123961,1118321,1115501,1112681,1107041,4062
"Asia","Vietnam","Vietnam","VNM",10691887,9556631,8628085,8001030,7599018,14895,102909,73716,132102,102909,1.3,6569928,6055383,5540838,4511748,3997203,3482658,2453568,1424478,909933,395388,0,2093
