"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Guyana","Guyana","GUY","mean",18618,18489,18366,12342,0.1,18242,18119,17995,17934,17872,17749,17625,17563,17502,17378,17255,7,"3508"
"America","Guyana","Guyana","GUY","high",18618,18489,18366,16210,0.1,18204,18041,17879,17798,17717,17555,17393,17312,17231,17069,16907,8,"3152"
"America","Haiti","Haiti","HTI","low",247,162,122,2655,1.8,96,69,43,29,16,0,0,0,0,0,0,100,"2066"
"America","Haiti","Haiti","HTI","mean",247,162,122,4001,2.8,82,42,2,0,0,0,0,0,0,0,0,100,"2050"
"America","Haiti","Haiti","HTI","high",247,162,122,5346,3.9,69,15,0,0,0,0,0,0,0,0,0,100,"2042"
"America","Honduras","Honduras","HND","low",3384,2993,2569,31042,1.1,2258,1948,1637,1482,1327,1016,706,551,396,85,0,97,"2102"
"America","Honduras","Honduras","HND","mean",3384,2993,2569,42409,1.5,2144,1720,1296,1084,872,448,24,0,0,0,0,100,"2080"
"America","Honduras","Honduras","HND","high",3384,2993,2569,53775,2,2031,1493,955,686,418,0,0,0,0,0,0,100,"2067"
"America","Jamaica","Jamaica","JAM","low",472,421,395,1403,0.3,381,367,353,346,339,325,311,304,297,283,269,40,"2301"
"America","Jamaica","Jamaica","JAM","mean",472,421,395,2572,0.6,370,344,318,305,293,267,241,228,215,190,164,60,"2173"
"America","Jamaica","Jamaica","JAM","high",472,421,395,3741,0.9,358,321,283,264,246,208,171,152,134,96,59,80,"2125"
"America","Martinique","Martinique","MTQ","low",73,70,66,229,0.3,64,61,59,58,57,55,52,51,50,48,45,34,"2308"
"America","Martinique","Martinique","MTQ","mean",73,70,66,400,0.6,62,58,54,52,50,46,42,40,38,34,30,53,"2185"
"America","Martinique","Martinique","MTQ","high",73,70,66,571,0.8,60,55,49,46,43,38,32,29,26,20,15,72,"2135"
"America","Mexico","Mexico","MEX","low",9098,7390,6264,85558,1.2,5408,4553,3697,3269,2842,1986,1130,703,275,0,0,100,"2093"
"America","Mexico","Mexico","MEX","mean",9098,7390,6264,112620,1.6,5138,4012,2885,2322,1759,633,0,0,0,0,0,100,"2075"
"America","Mexico","Mexico","MEX","high",9098,7390,6264,139682,2.1,4867,3470,2073,1375,677,0,0,0,0,0,0,100,"2064"
"America","Montserrat","Montserrat","MSR","low",3,3,3,3,0.1,3,3,3,3,3,3,3,3,3,3,3,11,"3118"
"America","Montserrat","Montserrat","MSR","mean",3,3,3,7,0.2,3,3,3,3,3,3,3,3,3,3,3,20,"2490"
"America","Montserrat","Montserrat","MSR","high",3,3,3,11,0.3,3,3,3,3,3,3,3,3,3,2,2,29,"2319"
"America","Nicaragua","Nicaragua","NIC","low",4926,4262,3408,47013,1.2,2938,2467,1997,1762,1527,1057,587,352,117,0,0,100,"2092"
"America","Nicaragua","Nicaragua","NIC","mean",4926,4262,3408,85457,2.2,2553,1699,844,417,0,0,0,0,0,0,0,100,"2059"
"America","Nicaragua","Nicaragua","NIC","high",4926,4262,3408,123901,3.4,2169,930,0,0,0,0,0,0,0,0,0,100,"2047"
"America","Panama","Panama","PAN","low",4423,4204,4012,13907,0.3,3873,3734,3595,3525,3455,3316,3177,3108,3038,2899,2760,34,"2308"
"America","Panama","Panama","PAN","mean",4423,4204,4012,19202,0.5,3820,3628,3436,3340,3244,3052,2860,2764,2668,2476,2284,44,"2228"
"America","Panama","Panama","PAN","high",4423,4204,4012,24496,0.6,3767,3522,3277,3154,3032,2787,2542,2420,2297,2052,1807,54,"2183"
"America","Paraguay","Paraguay","PRY","low",2359,1440,1090,19137,1.4,899,708,516,421,325,134,0,0,0,0,0,100,"2076"
