"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"Africa","Gabon","Gabon","GAB","mean",10283,13205,25833,39120,53060,67387,81886,96409,111061,125908
"Africa","Gabon","Gabon","GAB","high",10283,17136,34314,52556,71518,90701,110032,129663,149576,169806
"Africa","Gambia","Gambia","GMB","low",242,23,46,67,87,107,126,146,165,184
"Africa","Gambia","Gambia","GMB","mean",242,122,231,334,435,537,591,591,591,591
"Africa","Gambia","Gambia","GMB","high",242,213,401,591,591,591,591,591,591,591
"Africa","Ghana","Ghana","GHA","low",55382,37738,72631,109838,150161,221780,252021,252021,252021,252021
"Africa","Ghana","Ghana","GHA","mean",55382,64519,130416,245730,252021,252021,252021,252021,252021,252021
"Africa","Ghana","Ghana","GHA","high",55382,92138,227400,252021,252021,252021,252021,252021,252021,252021
"Africa","Guinea","Guinea","GIN","low",18015,16285,34862,56084,56084,56084,56084,56084,56084,56084
"Africa","Guinea","Guinea","GIN","mean",18015,22224,47702,56084,56084,56084,56084,56084,56084,56084
"Africa","Guinea","Guinea","GIN","high",18015,28353,56084,56084,56084,56084,56084,56084,56084,56084
"Africa","Guinea Bissau","Guinea Bissau","GNB","low",2047,1615,2892,4157,5459,6828,8309,9950,10214,10214
"Africa","Guinea Bissau","Guinea Bissau","GNB","mean",2047,2073,3774,5516,7390,9503,10214,10214,10214,10214
"Africa","Guinea Bissau","Guinea Bissau","GNB","high",2047,2508,4663,6951,9573,10214,10214,10214,10214,10214
"Africa","Ivory Coast","Ivory Coast","CIV","low",133273,95891,204800,319052,319052,319052,319052,319052,319052,319052
"Africa","Ivory Coast","Ivory Coast","CIV","mean",133273,149440,319052,319052,319052,319052,319052,319052,319052,319052
"Africa","Ivory Coast","Ivory Coast","CIV","high",133273,212444,319052,319052,319052,319052,319052,319052,319052,319052
"Africa","Kenya","Kenya","KEN","low",4677,2299,4637,6908,9167,11485,13874,16337,18851,21425
"Africa","Kenya","Kenya","KEN","mean",4677,5602,11128,17018,23251,29816,36556,38106,38106,38106
"Africa","Kenya","Kenya","KEN","high",4677,8823,18081,28235,38106,38106,38106,38106,38106,38106
"Africa","Liberia","Liberia","LBR","low",47865,33669,71556,114905,164920,221072,283075,351536,425799,504481
"Africa","Liberia","Liberia","LBR","mean",47865,45898,99738,164977,241138,328167,425959,531542,641118,754063
"Africa","Liberia","Liberia","LBR","high",47865,58475,130927,221204,328249,451933,585975,725821,847739,949138
"Africa","Madagascar","Madagascar","MDG","low",60669,42822,86791,132655,180246,230300,283192,330993,330993,330993
"Africa","Madagascar","Madagascar","MDG","mean",60669,62371,128144,197702,272655,330993,330993,330993,330993,330993
