area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Haiti,Haiti,HTI,low,3090694,2284194,3393946,4466983,6632277,7773496,8952721,10148299,10148299,10148299,10148299,10148299,10148299,1,1
America,Haiti,Haiti,HTI,mean,3090694,3409275,5021120,6663620,10040551,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299,1,2
America,Haiti,Haiti,HTI,high,3090694,4495961,6677859,9016200,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299,1,3
America,Honduras,Honduras,HND,low,38145309,28809284,43655848,58466138,88105988,102766962,117274089,146009906,174443766,188966614,204205319,236092476,245138297,1,1
America,Honduras,Honduras,HND,mean,38145309,39691307,59923220,80187595,120113634,139748172,159276177,198992890,242664866,245138297,245138297,245138297,245138297,1,2
America,Honduras,Honduras,HND,high,38145309,50536144,76218846,101738728,151661809,176233710,202019652,245138297,245138297,245138297,245138297,245138297,245138297,1,3
America,Jamaica,Jamaica,JAM,low,2164697,1272297,1935971,2606610,3956052,4637531,5321906,6695960,8083688,8782906,9485294,10898824,12325240,1,1
America,Jamaica,Jamaica,JAM,mean,2164697,2382069,3617199,4864959,7388398,8665838,9954473,12563040,15211518,16550087,17899838,20631383,23408970,1,2
America,Jamaica,Jamaica,JAM,high,2164697,3504397,5321227,7156982,10897649,12802003,14725843,18641356,22646937,24686070,26750103,30952150,35216811,1,3
America,Martinique,Martinique,MTQ,low,212729,178104,249263,315198,445841,512654,578880,712204,847117,917101,985978,1127174,1274353,1,1
America,Martinique,Martinique,MTQ,mean,212729,281421,395533,511878,744066,862892,984187,1234647,1501909,1640594,1783905,2086415,2409151,1,2
America,Martinique,Martinique,MTQ,high,212729,379232,544688,710298,1053387,1233715,1422247,1823646,2266560,2502426,2745959,3254715,3782913,1,3
America,Mexico,Mexico,MEX,low,82522155,63915467,96915975,130027820,196340439,229586214,262721691,328638580,395378837,430216215,468127967,494892527,494892527,1,1
America,Mexico,Mexico,MEX,mean,82522155,84746909,128332423,171931536,259340707,302732391,346178492,436123646,494892527,494892527,494892527,494892527,494892527,1,2
America,Mexico,Mexico,MEX,high,82522155,105705877,159752749,213982413,321900499,376094777,432408970,494892527,494892527,494892527,494892527,494892527,494892527,1,3
America,Montserrat,Montserrat,MSR,low,4205,2193,3253,4270,6018,6817,7638,9474,11424,12441,13408,15351,17246,1,1
America,Montserrat,Montserrat,MSR,mean,4205,4780,6817,8856,13408,15661,17933,22472,27026,29406,31789,36728,41685,1,2
America,Montserrat,Montserrat,MSR,high,4205,7101,10398,14065,21185,24741,28402,36055,43790,47865,51618,59693,68001,1,3
America,Nicaragua,Nicaragua,NIC,low,71520939,41637974,62924484,83807888,124033945,144124199,164403281,205478275,248111884,271365730,295616085,308251684,308251684,1,1
America,Nicaragua,Nicaragua,NIC,mean,71520939,76244697,113064472,149636051,224328226,264824306,308251684,308251684,308251684,308251684,308251684,308251684,308251684,1,2
