area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,for2110,yrdis,id_cont,id_d
America,Ecuador,Ecuador,ECU,mean,15459965,15157761,14902851,14614637,14390928,10184,51193,31232,71154,51193,0.3,13878998,13623033,13367068,12855138,12599173,12343208,11831278,11319348,11063383,10807418,10295488,9783558,2301,1,2
America,Ecuador,Ecuador,ECU,high,15459965,15157761,14902851,14614637,14390928,10184,51193,31232,71154,71154,0.5,13679388,13323618,12967848,12256308,11900538,11544768,10833228,10121688,9765918,9410148,8698608,7987068,2222,1,3
America,El Salvador,El Salvador,SLV,low,128663,115950,108855,102185,96656,217,1220,796,1645,796,0.8,88696,84716,80736,72776,68796,64816,56856,48896,44916,40936,32976,25016,2141,1,1
America,El Salvador,El Salvador,SLV,mean,128663,115950,108855,102185,96656,217,1220,796,1645,1220,1.2,84456,78356,72256,60056,53956,47856,35656,23456,17356,11256,0,0,2099,1,2
America,El Salvador,El Salvador,SLV,high,128663,115950,108855,102185,96656,217,1220,796,1645,1645,1.6,80206,71981,63756,47306,39081,30856,14406,0,0,0,0,0,2078,1,3
America,French Guiana,French Guiana,GUF,low,8118023,8103644,8088397,8075666,8064475,239,2390,1922,2857,1922,0,8045255,8035645,8026035,8006815,7997205,7987595,7968375,7949155,7939545,7929935,7910715,7891495,6215,1,1
America,French Guiana,French Guiana,GUF,mean,8118023,8103644,8088397,8075666,8064475,239,2390,1922,2857,2390,0,8040575,8028625,8016675,7992775,7980825,7968875,7944975,7921075,7909125,7897175,7873275,7849375,5394,1,2
America,French Guiana,French Guiana,GUF,high,8118023,8103644,8088397,8075666,8064475,239,2390,1922,2857,2857,0,8035905,8021620,8007335,7978765,7964480,7950195,7921625,7893055,7878770,7864485,7835915,7807345,4842,1,3
America,Grenada,Grenada,GRD,low,25671,23906,21792,19599,19149,105,264,57,470,57,0.3,18579,18294,18009,17439,17154,16869,16299,15729,15444,15159,14589,14019,2355,1,1
America,Grenada,Grenada,GRD,mean,25671,23906,21792,19599,19149,105,264,57,470,264,1.3,16509,15189,13869,11229,9909,8589,5949,3309,1989,669,0,0,2092,1,2
America,Grenada,Grenada,GRD,high,25671,23906,21792,19599,19149,105,264,57,470,470,2.4,14449,12099,9749,5049,2699,349,0,0,0,0,0,0,2060,1,3
